"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Zmynd8",0.0820054582404014,0.860699183997171,13.0897432175834,2.48315159137072e-09,1.70384982037333e-06,11.5964528822115
"Nr1d1.4",0.114998172732232,0.618319942429133,13.0646159589427,2.54698337419713e-09,1.70384982037333e-06,11.5699702811376
"Sfxn5.6",0.10379546304771,0.790238483112706,13.0376611346219,2.61740484779949e-09,1.70384982037333e-06,11.5415114842469
"Elmo1.3",0.0908437713783989,0.838150394263951,13.0274694555977,2.64456900958845e-09,1.70384982037333e-06,11.530737620151
"Acvr2b.2",0.122439845456743,0.783208328355396,12.9752914676277,2.78842257861464e-09,1.75830808430643e-06,11.4754623446937
"Glyr1",-0.0796692080491585,0.778157272569337,-12.9520191511637,2.85525002511238e-09,1.76293843738033e-06,11.4507454145951
"Sfxn5.4",0.0745481969377208,0.818322802737447,12.9069433847594,2.98958574425375e-09,1.80668636849517e-06,11.402760261065
"Mbnl2.2",0.0973718206798946,0.847328308173176,12.8686536366838,3.10898555161634e-09,1.80668636849517e-06,11.3618833006149
"Ttn.1",0.0420118775815781,0.891272045885237,12.7579077221216,3.09957413149892e-09,1.80668636849517e-06,11.3510986575462
"Gm13475.2",0.151232719757343,0.714607779136229,12.8437423119235,3.18938598563631e-09,1.81776600877506e-06,11.3352313709827
"Zmynd8.6",0.094234504068937,0.767416615406466,12.7538260487405,3.49850844463263e-09,1.95632631648259e-06,11.2386540983994
"Msantd1.1",0.0688531424140415,0.89231322244567,12.7327110249277,3.57562786525958e-09,1.96210190528065e-06,11.21588850878
"A830031A19Rik.8",-0.0762038490355687,0.146996575765778,-12.7151232980903,3.64124590175915e-09,1.96210190528065e-06,11.196900747968
"Fam222a.13",-0.123928951796595,0.314418876539216,-12.6388309682016,3.9410906095174e-09,1.96634424921867e-06,11.1142690297254
"Ttn.5",0.0970711761914795,0.661002139123134,12.5937470847494,4.13054614722592e-09,1.96634424921867e-06,11.0652344366784
"Trpc4ap.1",0.0334139230339519,0.918416064333942,12.4788729048207,4.15565036460867e-09,1.96634424921867e-06,11.0450384587438
"Dpyd",-0.0868661853175121,0.613761870733016,-12.5728485757602,4.22163477272588e-09,1.96634424921867e-06,11.0424527647119
"Blcap.7",0.101276371910703,0.694071864808287,12.5613854921118,4.27250390219981e-09,1.96634424921867e-06,11.0299427607867
"Ank2.5",-0.112837963147088,0.854545873658762,-12.5548715865454,4.301700683874e-09,1.96634424921867e-06,11.0228295215865
"Ssbp3.9",-0.0765578015673122,0.475278404557218,-12.5434105800959,4.35358824736378e-09,1.96634424921867e-06,11.0103062214979
