"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Maml3.12",-0.0273368920789604,0.538566974987163,-6.43146849421312,1.09038811808346e-08,4.02328658758658e-06,8.32040521468653
"Exoc6",-0.0263596463579399,0.734148569531967,-6.42947894495585,1.09959244726022e-08,4.02328658758658e-06,8.31208172903926
"Mrps9.4",-0.0140253514916527,0.905910721195916,-6.40264323227835,1.22493144920178e-08,4.4150267184528e-06,8.20468199453116
"Macrod1.5",-0.0342120987446385,0.382977442400353,-6.40095983776066,1.24031315012809e-08,4.4150267184528e-06,8.19285007115406
"Pbx3.22",-0.0289384997413468,0.646926301110945,-6.39668806661016,1.26287450162965e-08,4.4150267184528e-06,8.17500393441122
"Rpl28.ps2",-0.0500150781979673,0.56940943566785,-6.39490168120355,1.27242943919709e-08,4.4150267184528e-06,8.16754199108557
"Zfp281.3",0.0422263019298841,0.572870246907491,6.39328418181346,1.28114282075426e-08,4.4150267184528e-06,8.16078602518673
"Ctnnd1.2",0.0380706846855436,0.556662250285526,6.39019108189354,1.29797013035232e-08,4.42160238543124e-06,8.14786815542012
"Skida1.24",-0.0889317172133936,0.737470737901374,-6.38624672274417,1.31974654230222e-08,4.42772680389065e-06,8.13139776108254
"Btbd9.3",-0.0216261990623959,0.797646307382398,-6.38360791915231,1.33451680649951e-08,4.42772680389065e-06,8.12038060383782
"Macrod1",-0.0297187337279298,0.257407624510074,-6.38182525429186,1.34458755052859e-08,4.42772680389065e-06,8.11293862540059
"Kirrel3.3",0.0164214890954783,0.903821300011526,6.37590224588818,1.3768050526129e-08,4.48399685102071e-06,8.08937358386586
"Nr2f2.38",-0.0345815239706621,0.191917796875409,-6.37119557151341,1.40621960988594e-08,4.53001419328148e-06,8.06857615591754
"Cux2.2",-0.0336673429276527,0.693199086900272,-6.36669861469565,1.43312841199174e-08,4.56705663937625e-06,8.04981483930195
"Pcsk5.6",0.00942238303674039,0.933225050167647,6.3586917503414,1.47056757041864e-08,4.6365118174997e-06,8.02350993770164
"Gli3.17",0.0195165023213419,0.746158350106968,6.35684036270079,1.49391584009745e-08,4.66054565820717e-06,8.00869980840067
"Cacna2d3.3",0.0270726555959074,0.823240477983545,6.35166354986125,1.52685255523263e-08,4.71368012285722e-06,7.98711680770387
"Rpl19.ps10.12",-0.0332151147474993,0.645823439501841,-6.34866001462796,1.5462907827575e-08,4.72447628129731e-06,7.97459694897612
"Elavl4.14",0.00788676362335413,0.934877555026376,6.33184736857846,1.64672754390817e-08,4.98000655293944e-06,7.91154469976917
"Msl2.15",0.0173352212933313,0.880372260791264,6.32384345172954,1.71656525146159e-08,5.13877215733e-06,7.8712196372099
"Ebf1.41",-0.041742007929998,0.598723706316419,-6.31328587552723,1.79451737210407e-08,5.31841113570483e-06,7.82727712827175
"Fus.2",0.0148647511373792,0.925463654406863,6.2800133197819,2.05718984776893e-08,6.03652826914135e-06,7.69181009663583
"Casz1.14",0.0424202477120794,0.623883133123451,6.27104265746023,2.1430725706541e-08,6.21735353246325e-06,7.65167615713641
"Kmt2a",0.0336941380860463,0.88528120187933,6.26908365707378,2.16077003017753e-08,6.21735353246325e-06,7.64354152498231
"Gm45647.47",-0.0284511973547882,0.540036342705389,-6.25736979478698,2.26965176262449e-08,6.46785281624058e-06,7.5949167583484
"Sox6.49",-0.0388690752334628,0.488077919252983,-6.24357667751113,2.40483972572239e-08,6.78564232892943e-06,7.53769701120154
"Cnr1",0.0157407459578703,0.911820068738283,6.23923425989063,2.44501634165092e-08,6.78564232892943e-06,7.52114681829745
"Gm9341.14",-0.0272680679614153,0.776811642423751,-6.23915361054279,2.44985568443314e-08,6.78564232892943e-06,7.51935655358842
"Sptbn1.1",0.0256343970305608,0.751778298915051,6.23277658511123,2.51622987918031e-08,6.90495416011729e-06,7.49292105556273
"Ctnnd1",0.0482822941240499,0.710387115730144,6.2297612403315,2.54823131120228e-08,6.9286175568901e-06,7.48042410608438
"Hsf4",-0.0305167734823799,0.52574248892735,-6.22757856700116,2.57164671097795e-08,6.92871759756851e-06,7.47137930498075
"Btrc.56",0.0466589057080565,0.580687609636161,6.20367552966603,2.842432192954e-08,7.55164631611987e-06,7.37239260665284
"Fam222a.9",-0.0321077541418252,0.620584263377356,-6.20272100192376,2.85381242165342e-08,7.55164631611987e-06,7.36844223751019
"Scml4",-0.0531833561264246,0.593696946058625,-6.1938472418053,2.96178983806854e-08,7.7680146398971e-06,7.33172690349141
"Tgfb3",-0.0438776070368244,0.280675108217737,-6.18440507394197,3.08112444106356e-08,8.01011272454391e-06,7.2926781692671
"Etv4.4",-0.0273220276464151,0.339710064565113,-6.16625870803555,3.32397854276517e-08,8.56016486819419e-06,7.21768624677801
"Dhx33",0.0112347504764211,0.903214062469367,6.16262412957137,3.35047111620787e-08,8.56016486819419e-06,7.20909709661459
"Agbl1",-0.0322062359468628,0.687824503722068,-6.15115516192647,3.54047677259273e-08,8.95426630911433e-06,7.15532334370885
"Hnrnpk.16",0.0372402693846942,0.520291961626713,6.14949223956804,3.56514972661029e-08,8.95426630911433e-06,7.14846012746911
"Rbfox1.11",0.0270352397215182,0.826940056140122,6.13984432155,3.71168911106749e-08,9.24397732644599e-06,7.10865313979264
"Satb1.15",-0.0264898429465113,0.645328831568637,-6.12164830023415,4.00446023017789e-08,9.89001565348185e-06,7.03363259711704
"Rtn4rl1",0.0262942146501118,0.751771144468138,6.11379622243583,4.13774684480992e-08,9.9786212416447e-06,7.00128180151369
