"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"STX7",546.430881756314,2.38351969785905,0.392078414416385,1.40383915177751e-11,3.51693136755006e-09
"MASTL",419.237837347926,3.32318243065202,0.535503206923331,1.97798271987393e-11,4.8824176401594e-09
"BLMH",1036.97657763976,2.06130521282569,0.344825784591266,2.42150620623701e-11,5.89057705386786e-09
"NBPF19",1684.99538349157,-2.55719044385255,0.425616153293149,2.60885208712536e-11,5.91751111924312e-09
"HTATIP2",515.644036627721,2.1923475235371,0.367611419022398,2.58501477827002e-11,5.91751111924312e-09
"CARD16",593.217627226118,3.40576031499505,0.551807877831471,2.57195215501435e-11,5.91751111924312e-09
"GK5",1091.36835608205,-4.41264356632878,0.722164039735729,2.50213334717989e-11,5.91751111924312e-09
"X100272216",28.801663090337,-15.3724050355511,2.54507314925947,2.58532635188371e-11,5.91751111924312e-09
"S1PR2",288.396441013606,3.37590439709254,0.548996944636829,2.89414830189044e-11,6.47710389963082e-09
"NT5C3A",2540.49411740298,4.11248575010319,0.670953295723551,3.11646630237003e-11,6.88287985332644e-09
"GORASP1",587.336284787063,5.2179173710577,0.901242754849271,3.77264716288568e-11,8.22388086091379e-09
"DHX32",139.579491545726,-4.22553431136346,0.695303185214094,3.82886358136915e-11,8.23941989913862e-09
"CD48",5709.05222901354,2.42437396852651,0.410044762291322,4.03229661424591e-11,8.4602623337647e-09
"HLA.E",66105.0375697593,1.43050335568564,0.233876800724377,4.00754936431e-11,8.4602623337647e-09
"GIMAP2",1644.00269586631,2.25712401318336,0.384432639422773,4.61469515814537e-11,9.56267385549013e-09
"FAR2",294.367608959022,3.46707040921068,0.570892772677908,4.8139852324073e-11,9.85399294218982e-09
"X100419583",1102.96057201702,3.00627889441847,0.501288787620221,5.00867211560505e-11,1.00084001738608e-08
"CARMIL1",119.446540665977,9.15223342365555,1.57179404455214,4.96245712345501e-11,1.00084001738608e-08
"PZP",91.5013915229371,-9.52537638314308,1.61882080915371,5.21199425370119e-11,1.02921557115735e-08
"STX16",1329.94188693257,2.19619485737882,0.375755454644141,5.32876624573499e-11,1.04003885389142e-08
"ECE1",3674.2259272256,3.58991493521504,0.593037284392501,5.66390690430812e-11,1.0927434182622e-08
"MAP6D1",88.2683237061145,-4.16685087278343,0.69428103658717,6.33587514242899e-11,1.20849618483717e-08
"X6977",159.237685631929,-12.2809882710856,2.03477293582466,7.32273453720258e-11,1.38103482254995e-08
"POLR1B",923.942516397082,-1.9268207763661,0.331548799436076,7.47545868163251e-11,1.39417304412446e-08
"FAM78A",3733.63210833733,1.84754215733043,0.318851112559701,9.29567255993832e-11,1.71459191119302e-08
"X105373498",67.1076614052827,-9.01856167307672,1.59800458902952,1.13287669918114e-10,2.06688428214732e-08
"SLC35A4",1620.55272345041,1.46020455405024,0.246505988079436,1.19063159943271e-10,2.1488979996213e-08
"TMEM187",225.65979327464,3.73271034059583,0.631912966955377,1.3487942483557e-10,2.40845866581387e-08
"GCH1",1227.33022743125,2.72241971424769,0.472991791300162,1.42931384379428e-10,2.50088053586777e-08
"CRELD1",359.968821206239,2.44770550107622,0.429273309277805,1.43035169164912e-10,2.50088053586777e-08
"AOAH",2166.71337505773,-5.63235048325775,1.03964747445142,1.48091954499892e-10,2.56260150132029e-08
"GIMAP4",4727.79076378042,2.4203303058733,0.426393384205722,1.62079683794917e-10,2.77602805356906e-08
"TDRD3",483.623351767155,2.12197536393488,0.37688140843699,1.90292642051675e-10,3.22632524933068e-08
"NUB1",5993.40203417441,2.71258059898162,0.477333923116284,2.14430412112642e-10,3.5992144673107e-08
