"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"128B",4636.70973247793,0.177355269027278,0.110952959294189,1.59847263340696,0.109937831177762,0.580193719454955,"Pancreatic Cancer"
"128C",11151.1046191625,0.129424218445596,0.12669478415541,1.02154338324487,0.306997065923344,0.786018349820976,"Pancreatic Cancer"
"128D",176.243121024096,-0.948574543623292,0.351864509440594,-2.69585172182147,0.0070208912210044,0.206800153918917,"Pancreatic Cancer"
"129B",10853.3495560351,0.144392122729314,0.111057335212933,1.30015835921569,0.19354669916618,0.70924707994885,"Pancreatic Cancer"
"129D",404.171003568853,-1.13477380274503,0.312371367339337,-3.6327715065904,0.000280393294498723,0.0208192021165302,"Pancreatic Cancer"
"12A",2219.14151488692,0.0234056663447804,0.145291455700029,0.161094582141871,0.872018907338863,0.965831160026013,"Pancreatic Cancer"
"12C",3418.8464324833,0.0619256633322009,0.167669504790719,0.369331700534899,0.711880499615959,0.920619313982911,"Pancreatic Cancer"
"130C",11194.1593799057,0.0839733585641613,0.120381500920237,0.697560322161136,0.485452202657269,0.868026610920052,"Pancreatic Cancer"
"130D",14669.7878407027,0.128090687446415,0.144326875913438,0.887504053806575,0.374807584647704,0.80348798650336,"Pancreatic Cancer"
"131B",9209.63203531642,0.114501436429742,0.109731233790822,1.04347169419432,0.296729883855351,0.783611184920806,"Pancreatic Cancer"
"131C",5927.72657956685,-0.115935755221231,0.124008096729648,-0.93490472218104,0.349837403290161,0.791092066938006,"Pancreatic Cancer"
"131D",13615.8068922314,0.0729821696151837,0.145741653153744,0.500763975403751,0.616537241733829,0.904254621209616,"Pancreatic Cancer"
"132B",28183.9956937722,0.0464306973703611,0.091725703970495,0.506190689856098,0.612722790169482,0.904254621209616,"Pancreatic Cancer"
"132C",36112.360626025,0.163097826955754,0.0927517960822736,1.75843308533973,0.0786738477845274,0.561971443173129,"Pancreatic Cancer"
"132D",14921.6685847746,-0.0139033093855559,0.127256410606923,-0.109254294689336,0.913000797068188,0.968432988318756,"Pancreatic Cancer"
"133B",14350.5837458043,-0.297870453272953,0.132343326619397,-2.25074025930744,0.024401993281122,0.37166112843555,"Pancreatic Cancer"
"133C",19772.5141565556,0.0492825920111115,0.0968675749887891,0.50876252468192,0.610918690312049,0.904254621209616,"Pancreatic Cancer"
"133D",20263.0792437321,-0.0165383849168534,0.132107574177813,-0.125188771497637,0.90037410635787,0.965831160026013,"Pancreatic Cancer"
"134B",8162.73718861978,-0.326262348127588,0.13840105977465,-2.35736885728202,0.0184049549423445,0.331289188962201,"Pancreatic Cancer"
"134C",19582.980830032,0.0120923840728358,0.0953765057713462,0.126785773656101,0.899109955842621,0.965831160026013,"Pancreatic Cancer"
"135C",19039.4326789944,-0.0268818382890984,0.107100562904069,-0.250996237182962,0.801817018383671,0.949496243719435,"Pancreatic Cancer"
"136B",48607.9237610603,-0.1917010712869,0.167125816828683,-1.14704642840076,0.251362432849246,0.757790756620781,"Pancreatic Cancer"
"136C",1632.95654858602,-0.343259650084699,0.165094736826557,-2.07916773534287,0.0376019360790144,0.485555435455099,"Pancreatic Cancer"
"136D",14510.1509972625,0.0346757176453377,0.131401254883449,0.26389183022715,0.791863271108209,0.943986254278122,"Pancreatic Cancer"
"137B",1854.98660204384,0.245572920843899,0.195907966994398,1.25351165964027,0.210019558482878,0.711828663981515,"Pancreatic Cancer"
"137D",34565.4822751293,0.0449303383734802,0.108621409736413,0.413641642863142,0.679136571083796,0.916032311247777,"Pancreatic Cancer"
"138B",1132.77774606337,0.0957405603553152,0.242231158106695,0.395244613053225,0.692662370889914,0.916866506680385,"Pancreatic Cancer"
"138C",6442.7900546948,0.229282786346134,0.108561136065605,2.11201535517808,0.0346851322744048,0.479138803976661,"Pancreatic Cancer"
"138D",65986.0469466673,-0.0878818253162804,0.164064942870705,-0.535652673743578,0.592198617501322,0.901356589398608,"Pancreatic Cancer"
"139B",178.274366769044,-0.0924850235778788,0.478318846513891,-0.193354337283452,0.846681474128008,0.959755919378373,"Pancreatic Cancer"
"139C",18736.8885607737,0.0213833128297357,0.116209402608432,0.184006735683745,0.854008170837732,0.959755919378373,"Pancreatic Cancer"
"139D",861.990414709441,0.082347917614316,0.267905067763391,0.307377229933718,0.75855625771081,0.93095540719054,"Pancreatic Cancer"
"13A",5174.33373989559,-0.278984423916868,0.220661906201095,-1.26430714172578,0.206119807233237,0.711828663981515,"Pancreatic Cancer"
"13B",2707.40263917074,-0.160021015210864,0.173506815514242,-0.92227509758963,0.356385099957834,0.791092066938006,"Pancreatic Cancer"
"13C",2925.02950816697,0.00675710720287796,0.182577802549023,0.0370094672437721,0.970477457144218,0.990590306044352,"Pancreatic Cancer"
"13D",20282.9258023224,0.0383009380169833,0.145247834078003,0.263693694712269,0.792015954516426,0.943986254278122,"Pancreatic Cancer"
"140B",371.631772625723,-0.307427442943234,0.287777989944386,-1.06827990216571,0.285394271486987,0.783611184920806,"Pancreatic Cancer"
"140C",24932.4723403686,0.0294807235341845,0.125557863770723,0.234797906310498,0.814365592843981,0.953846862783521,"Pancreatic Cancer"
"140D",493.023058001335,-0.118194830650245,0.30274290196061,-0.390413218228394,0.696231015119164,0.916866506680385,"Pancreatic Cancer"
"141C",18330.968679821,0.243187906944849,0.115040851854882,2.11392651413619,0.0345215442516972,0.479138803976661,"Pancreatic Cancer"
"142B",383.947073899385,-0.4469969586872,0.239320482190751,-1.86777560614691,0.061793354998317,0.526620619523572,"Pancreatic Cancer"
"143B",825.027422562182,-0.0209182384180825,0.182854159355828,-0.114398482877145,0.908921916590137,0.965831160026013,"Pancreatic Cancer"
"143C",17601.2701002329,0.236962886772723,0.138152123994221,1.71523158617985,0.0863027759645178,0.561971443173129,"Pancreatic Cancer"
"144B",913.567654896046,-0.0141997732591662,0.184041494872646,-0.0771552810359002,0.938500016113788,0.976302993995779,"Pancreatic Cancer"
"144C",22361.8820046466,0.202930694818307,0.127818945549398,1.58764175331019,0.112367371023938,0.580193719454955,"Pancreatic Cancer"
"145B",840.635092258655,-0.250182774685326,0.20452100142,-1.22326202662951,0.221230744773936,0.711828663981515,"Pancreatic Cancer"
"145C",17848.9384026575,0.156256328702319,0.12773065392743,1.22332677315734,0.221206298834451,0.711828663981515,"Pancreatic Cancer"
"146B",2001.62747813959,-0.931870482808837,0.253820641660035,-3.67137391472272,0.000241250087094244,0.0208192021165302,"Pancreatic Cancer"
"146C",21009.1644390599,0.224681553326148,0.199041856465547,1.12881560349111,0.258975628946159,0.757790756620781,"Pancreatic Cancer"
"147B",1826.63642347851,-0.841182782193952,0.252437277341366,-3.33224471065911,0.000861484685388058,0.0465201730109551,"Pancreatic Cancer"
"147C",16667.8938171504,-0.097326262423433,0.18545737920886,-0.524790455028621,0.59972886759954,0.904254621209616,"Pancreatic Cancer"
"148B",3552.97845046405,0.249000747136869,0.148101324994395,1.68128642431993,0.0927072935125345,0.578000865658759,"Pancreatic Cancer"
"148C",24635.4423088869,0.168583902608911,0.120135333719618,1.40328325888174,0.160532388349546,0.65063591130458,"Pancreatic Cancer"
"149B",4915.04195729647,0.150836444337929,0.136959930329915,1.10131805685494,0.270758255062922,0.77322309378546,"Pancreatic Cancer"
"149C",2162.55508931451,0.0486326458356059,0.145755206933582,0.33365974951253,0.738636325787945,0.929982388225165,"Pancreatic Cancer"
"14A",7456.42895572623,-0.371581992940254,0.198223607251647,-1.87455973631096,0.0608533167339023,0.526620619523572,"Pancreatic Cancer"
"14B",12692.0804843073,-0.23657341556781,0.1899479576491,-1.24546438137989,0.212961100486657,0.711828663981515,"Pancreatic Cancer"
"14C",12255.6628425555,-0.126276531789614,0.106234016611659,-1.18866381802377,0.23457198393664,0.741147651374278,"Pancreatic Cancer"
"14D",20762.0760901986,0.170594872062995,0.117987790586328,1.44586885825424,0.148213988068995,0.644502595322581,"Pancreatic Cancer"
"150B",5450.29060220376,0.039041632066677,0.120307477587838,0.324515423724781,0.745547847104808,0.929982388225165,"Pancreatic Cancer"
"150C",38805.0542415544,0.135076362246808,0.14107362152336,0.957488443184542,0.338320776805443,0.791092066938006,"Pancreatic Cancer"
